lng,lat
-92.52,35.58
-94.22,35.98
-91.75,35.26
-91.24,35.19
-93.41,35
-170.37,-14.22
-111.66,34.29
-109.49,35.4
-109.75,31.88
-111.77,35.84
-110.81,33.8
-109.89,32.93
-109.24,33.22
-113.98,33.73
-112.49,33.35
-113.76,35.7
-110.32,35.4
-111.79,32.1
-111.34,32.9
-110.85,31.53
-112.55,34.6
-113.91,32.77
-119.61,37.25
-121.89,37.65
-119.82,38.6
-120.65,38.45
-121.6,39.67
-120.55,38.2
-122.24,39.18
-121.93,37.92
-123.9,41.74
-120.52,38.78
-119.65,36.76
-122.39,39.6
-123.88,40.7
-115.37,33.04
-117.41,36.51
-118.73,35.34
-119.82,36.08
-122.75,39.1
-120.59,40.67
-118.22,34.32
-119.76,37.22
-122.72,38.07
-119.91,37.58
-123.39,39.44
-120.72,37.19
-120.72,41.59
-118.89,37.94
-121.24,36.22
-122.33,38.51
-120.77,39.3
-117.76,33.7
-120.72,39.06
-120.84,40
-115.99,33.74
-121.34,38.45
-121.07,36.61
-116.18,34.84
-116.74,33.03
-122.44,37.76
-121.27,37.93
-120.4,35.39
-122.33,37.42
-120.02,34.67
-121.7,37.23
-122,37.06
-122.04,40.76
-120.52,39.58
-122.54,41.59
-121.93,38.27
-122.89,38.53
-121,37.56
-121.69,39.03
-122.23,40.13
-123.11,40.65
-118.8,36.22
-119.95,38.03
-119.08,34.46
-121.9,38.69
-121.35,39.27
-105.55,39
-104.34,39.87
-105.79,37.57
-104.34,39.65
-107.05,37.19
-102.56,37.32
-103.07,37.96
